,as_caida20040105,as_caida20040705,as_caida20050103,as_caida20050704,as_caida20060116,as_caida20060417,as_caida20060918,as_caida20070115,as_caida20070730,as_caida20071105,cit_citeseer,cit_cora,cit_dblp_cite,cit_HepPh,cit_HepTh,cit_Kohonen,cit_Lederberg,cit_SciMet,cit_Zewail,elec_b12_0,elec_b14s_0,elec_b15s_0,elec_b17s_0,elec_b20s_0,elec_b21s_0,elec_b22s_0,elec_s13207_0,elec_s15850_0,elec_s38417_0,elec_s38584_0,elec_s5378_0,elec_s9234_0,hl_berkstan_web,hl_foldoc,hl_google,hl_google_web,hl_notre_dame_web,hl_polblogs,hl_stanford_web,hl_trec_web,hl_wiki_hyperLink_uz,hl_wiki_link_dyn_add,hl_wiki_link_dyn_rem,soc_academia_eu,soc_email_Eu_core,soc_google_plus,soc_myspace_aminer,soc_qa_user_askubuntu,soc_qa_user_mathoverflow,soc_twitter_event_Cannes2013,soc_twitter_event_MoscvowAthletics2013,soc_twitter_event_NYClimateMarch2014,soc_wiki_talk_ar,soc_wiki_talk_fr,sps_nosym_amazon0302,sps_nosym_amazon0312,sps_nosym_amazon0505,sps_nosym_amazon0601,sps_nosym_amazon_2008,sps_nosym_barth,sps_nosym_barth4,sps_nosym_barth5,sps_nosym_California,sps_nosym_cnr_2000,sps_nosym_CSphd,sps_nosym_email_EuAll,sps_nosym_enron,sps_nosym_EPA,sps_nosym_EVA,sps_nosym_GD06_Java,sps_nosym_HEP_th,sps_nosym_higgs_twitter,sps_nosym_NotreDame_www,sps_nosym_p2p_Gnutella04,sps_nosym_p2p_Gnutella05,sps_nosym_p2p_Gnutella06,sps_nosym_p2p_Gnutella08,sps_nosym_p2p_Gnutella09,sps_nosym_p2p_Gnutella24,sps_nosym_p2p_Gnutella25,sps_nosym_p2p_Gnutella30,sps_nosym_p2p_Gnutella31,sps_nosym_rajat01,sps_nosym_Roget,sps_nosym_soc_Epinions1,sps_nosym_soc_Slashdot0811,sps_nosym_soc_Slashdot0902,sps_nosym_Stanford_Berkeley,sps_nosym_wb_cs_stanford,sps_nosym_wiki_Vote,sps_sym_ca_AstroPh,sps_sym_ccc,sps_sym_copter2,sps_sym_delaunay_n15,sps_sym_fe_rotor,sps_sym_ford1,sps_sym_g3rmt3m3,sps_sym_jagmesh5,sps_sym_lock2232,sps_sym_lshp2614,sps_sym_lshp3466,sps_sym_net100,sps_sym_net75,sps_sym_onera_dual,sps_sym_pct20stif,sps_sym_pkustk11,sps_sym_pkustk12,sps_sym_rajat08,sps_sym_s4dkt3m2,sps_sym_shock_9,sps_sym_vsp_befref_fxm_2_4_air02,sps_sym_vsp_model1_crew1_cr42_south31,sps_sym_vsp_p0291_seymourl_iiasa,sps_sym_vsp_sctap1_2b_and_seymourl,sps_sym_vsp_vibrobox_scagr7_2c_rlfddd,trsp_chicago_road,trsp_openflights,trsp_street_network_01_AL_cities_0107000_Birmingham,trsp_street_network_01_AL_counties_01073_Jefferson,trsp_street_network_04_AZ_counties_04013_Maricopa,trsp_street_network_06_CA_cities_0653000_Oakland,trsp_street_network_36_NY_cities_3651000_NewYork,trsp_street_network_36_NY_counties_36081_Queens,trsp_street_network_48_TX_urbanizedAreas_22042_Dallas_FortWorth_Arlingto
as_caida20040105,1.0000e+00,3.5450e-01,1.7760e-01,3.1931e-01,3.2945e-01,4.2079e-01,3.0157e-01,3.6948e-01,3.4292e-01,2.8552e-01,1.0000e+00,1.5125e-01,4.0357e-04,1.0106e-02,1.4219e-03,0.0000e+00,3.1294e-05,0.0000e+00,3.0512e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3207e-01,1.2637e-01,1.0000e+00,-1.2767e-02,1.2530e-02,3.4039e-03,-6.4907e-03,7.8927e-03,-1.2706e-02,4.9884e-02,3.5782e-01,3.1888e-02,2.4018e-03,7.9647e-02,0.0000e+00,3.0681e-01,1.4451e-01,2.2701e-02,8.0622e-02,6.8464e-02,6.1083e-02,3.3590e-01,-7.9279e-03,-1.8337e-02,-1.5895e-02,-1.5683e-02,2.3449e-02,0.0000e+00,0.0000e+00,0.0000e+00,3.3446e-04,4.7806e-03,0.0000e+00,3.5007e-01,1.2999e-01,1.1344e-04,0.0000e+00,1.5178e-03,1.2420e-03,2.1650e-02,1.8864e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.8885e-03,2.4506e-01,1.5317e-01,1.2946e-01,2.6254e-02,3.7252e-01,6.6072e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,3.6054e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.1294e-05
as_caida20040705,,1.0000e+00,2.0309e-01,3.9355e-01,2.3550e-01,3.7572e-01,2.2070e-01,2.2295e-01,2.3665e-01,2.3140e-01,8.8216e-01,1.1427e-01,3.0491e-04,7.6355e-03,1.0743e-03,0.0000e+00,2.3644e-05,0.0000e+00,2.3053e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2639e-01,1.1921e-01,1.0000e+00,-1.2624e-02,1.5224e-02,2.5718e-03,-5.5475e-03,8.2362e-03,-1.8475e-02,5.0676e-02,2.7827e-01,3.2085e-02,1.8147e-03,7.9317e-02,0.0000e+00,2.2277e-01,1.1227e-01,2.2763e-02,8.2814e-02,6.2729e-02,5.0625e-02,2.5963e-01,-8.1257e-03,-1.8358e-02,-1.6027e-02,-1.5652e-02,2.3495e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.5269e-04,4.2697e-03,0.0000e+00,3.4621e-01,9.3692e-02,8.5709e-05,0.0000e+00,1.1467e-03,9.3837e-04,2.3117e-02,2.0881e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.6934e-03,2.4754e-01,1.5858e-01,1.2733e-01,2.2316e-02,2.8145e-01,4.9607e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,2.7240e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.3644e-05
as_caida20050103,,,1.0000e+00,4.1877e-01,5.1264e-01,3.2965e-01,4.6955e-01,4.6410e-01,2.6551e-01,3.4709e-01,7.1320e-01,9.2386e-02,2.4651e-04,6.1731e-03,8.6856e-04,0.0000e+00,1.9115e-05,0.0000e+00,1.8638e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.6719e-01,1.1375e-01,1.0000e+00,-1.4167e-02,1.2952e-02,2.0792e-03,-8.8403e-03,9.5836e-03,-1.2833e-01,4.6826e-02,1.9536e-01,3.3023e-02,1.4671e-03,8.3286e-02,0.0000e+00,2.0366e-01,9.6969e-02,3.2408e-02,8.4311e-02,7.2382e-02,3.9700e-02,2.4694e-01,-8.1899e-03,-1.9679e-02,-1.7188e-02,-1.6980e-02,2.4937e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.0430e-04,5.1851e-03,0.0000e+00,3.7653e-01,9.1741e-02,6.9294e-05,0.0000e+00,9.2710e-04,7.5864e-04,2.3621e-02,2.0324e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.9860e-03,2.6083e-01,1.5967e-01,1.3349e-01,2.3385e-02,2.2754e-01,4.6175e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,2.2023e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.9115e-05
as_caida20050704,,,,1.0000e+00,5.2568e-01,5.2134e-01,4.4514e-01,5.4001e-01,4.5746e-01,4.1372e-01,1.0000e+00,1.3538e-01,3.6122e-04,9.0458e-03,1.2727e-03,0.0000e+00,2.8011e-05,0.0000e+00,2.7311e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.8642e-01,9.6477e-02,1.0000e+00,-1.2419e-02,1.1913e-02,3.0468e-03,-9.4430e-03,7.8047e-03,-5.6573e-02,4.4113e-02,2.8587e-01,2.8973e-02,2.1498e-03,7.5456e-02,0.0000e+00,2.8764e-01,1.4378e-01,2.2873e-02,6.3999e-02,6.5312e-02,6.2833e-02,3.6286e-01,-6.4041e-03,-1.8583e-02,-1.6795e-02,-1.6521e-02,2.3600e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.9937e-04,6.4569e-03,0.0000e+00,3.5029e-01,1.2531e-01,1.0154e-04,0.0000e+00,1.3585e-03,1.1117e-03,2.3461e-02,1.8142e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.3755e-03,2.4166e-01,1.4541e-01,1.1974e-01,1.9992e-02,3.3343e-01,6.0145e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,3.2271e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.8011e-05
as_caida20060116,,,,,1.0000e+00,4.8314e-01,5.1522e-01,6.1407e-01,4.8269e-01,4.7087e-01,9.6490e-01,1.2499e-01,3.3350e-04,8.3516e-03,1.1751e-03,0.0000e+00,2.5861e-05,0.0000e+00,2.5215e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.7246e-01,1.1726e-01,1.0000e+00,-1.3745e-02,1.2096e-02,2.8130e-03,-8.6954e-03,9.3469e-03,-7.5024e-02,4.7030e-02,2.8603e-01,3.2275e-02,1.9849e-03,8.3058e-02,0.0000e+00,2.9195e-01,1.3992e-01,2.6237e-02,7.4529e-02,7.3710e-02,5.7538e-02,3.5392e-01,-7.3518e-03,-2.0497e-02,-1.8249e-02,-1.8011e-02,2.6017e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.7639e-04,5.1896e-03,0.0000e+00,3.6310e-01,1.3002e-01,9.3747e-05,0.0000e+00,1.2543e-03,1.0264e-03,2.4613e-02,1.7997e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.0398e-03,2.6202e-01,1.5522e-01,1.3214e-01,2.8015e-02,3.0785e-01,6.2307e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,2.9795e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.5861e-05
as_caida20060417,,,,,,1.0000e+00,1.0000e+00,5.0756e-01,4.6170e-01,4.5652e-01,1.0000e+00,1.5280e-01,4.0772e-04,1.0210e-02,1.4366e-03,0.0000e+00,3.1616e-05,0.0000e+00,3.0826e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.8156e-01,1.1515e-01,1.0000e+00,-1.3692e-02,1.2505e-02,3.4389e-03,-9.4546e-03,8.6094e-03,-3.6703e-02,5.1529e-02,3.6025e-01,3.2519e-02,2.4265e-03,8.3917e-02,0.0000e+00,3.4893e-01,1.6898e-01,2.4696e-02,7.4344e-02,7.2273e-02,7.6767e-02,4.2309e-01,-7.4485e-03,-2.0189e-02,-1.8038e-02,-1.7749e-02,2.5696e-02,0.0000e+00,0.0000e+00,0.0000e+00,3.3790e-04,5.6323e-03,0.0000e+00,3.6252e-01,1.5140e-01,1.1461e-04,0.0000e+00,1.5334e-03,1.2548e-03,2.4885e-02,2.0567e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.9387e-03,2.6116e-01,1.6069e-01,1.3670e-01,2.5248e-02,3.7635e-01,7.3671e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,3.6425e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.1616e-05
as_caida20060918,,,,,,,1.0000e+00,5.3548e-01,3.8955e-01,5.6780e-01,9.9276e-01,1.2860e-01,3.4314e-04,8.5928e-03,1.2090e-03,0.0000e+00,2.6608e-05,0.0000e+00,2.5943e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2729e-01,1.0375e-01,1.0000e+00,-1.2988e-02,1.0576e-02,2.8942e-03,-7.9248e-03,7.4706e-03,-7.1768e-02,4.7791e-02,2.6560e-01,3.0195e-02,2.0422e-03,7.8552e-02,0.0000e+00,2.8114e-01,1.3337e-01,2.5469e-02,6.8037e-02,6.6249e-02,6.6079e-02,3.4587e-01,-6.7714e-03,-1.8822e-02,-1.6794e-02,-1.6641e-02,2.3861e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.8438e-04,4.6340e-03,0.0000e+00,3.6438e-01,1.2398e-01,9.6455e-05,0.0000e+00,1.2905e-03,1.0560e-03,2.3061e-02,1.6781e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.1564e-03,2.4008e-01,1.4996e-01,1.2591e-01,2.0505e-02,3.1674e-01,5.8226e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,3.0655e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.6608e-05
as_caida20070115,,,,,,,,1.0000e+00,5.5194e-01,5.0157e-01,1.0000e+00,1.3187e-01,3.5185e-04,8.8111e-03,1.2397e-03,0.0000e+00,2.7284e-05,0.0000e+00,2.6602e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.4982e-01,9.0917e-02,1.0000e+00,-1.2568e-02,9.3769e-03,2.9677e-03,-8.3783e-03,7.4277e-03,-6.5637e-02,4.5106e-02,2.6963e-01,2.8060e-02,2.0941e-03,7.4934e-02,0.0000e+00,2.9005e-01,1.4008e-01,2.2580e-02,5.7501e-02,6.7360e-02,6.1000e-02,3.6468e-01,-5.8333e-03,-1.8396e-02,-1.6691e-02,-1.6571e-02,2.3306e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.9160e-04,5.5762e-03,0.0000e+00,3.5504e-01,1.2815e-01,9.8905e-05,0.0000e+00,1.3233e-03,1.0828e-03,2.3212e-02,1.6536e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.2620e-03,2.3962e-01,1.4110e-01,1.2012e-01,1.9753e-02,3.2478e-01,5.9510e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,3.1434e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.7284e-05
as_caida20070730,,,,,,,,,1.0000e+00,1.0000e+00,8.8313e-01,1.1440e-01,3.0524e-04,7.6439e-03,1.0755e-03,0.0000e+00,2.3670e-05,0.0000e+00,2.3078e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.7295e-01,9.2707e-02,1.0000e+00,-1.2695e-02,9.5994e-03,2.5746e-03,-1.0120e-02,7.6606e-03,-2.0930e-02,5.2305e-02,2.3739e-01,2.9214e-02,1.8167e-03,7.8173e-02,0.0000e+00,2.5772e-01,1.2268e-01,2.1709e-02,5.9767e-02,7.3317e-02,5.4946e-02,3.1647e-01,-6.2062e-03,-1.8766e-02,-1.7017e-02,-1.6835e-02,2.3787e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.5297e-04,5.8041e-03,0.0000e+00,3.3330e-01,1.1227e-01,8.5803e-05,0.0000e+00,1.1480e-03,9.3940e-04,2.4048e-02,1.8834e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.6974e-03,2.4933e-01,1.5133e-01,1.2310e-01,1.8469e-02,2.8176e-01,2.9948e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,2.7270e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.3670e-05
as_caida20071105,,,,,,,,,,1.0000e+00,8.7936e-01,1.1391e-01,3.0394e-04,7.6113e-03,1.0709e-03,0.0000e+00,2.3569e-05,0.0000e+00,2.2980e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.4779e-01,9.9157e-02,1.0000e+00,-1.3662e-02,1.5041e-02,2.5636e-03,-9.7549e-03,7.4963e-03,-3.9196e-02,4.7110e-02,2.4345e-01,3.2458e-02,1.8089e-03,8.4378e-02,0.0000e+00,2.6227e-01,1.2295e-01,2.5559e-02,7.3357e-02,7.4732e-02,6.2454e-02,3.3103e-01,-7.4627e-03,-1.9789e-02,-1.7665e-02,-1.7492e-02,2.4970e-02,0.0000e+00,0.0000e+00,0.0000e+00,2.5189e-04,5.9050e-03,0.0000e+00,3.6223e-01,1.1738e-01,8.5437e-05,0.0000e+00,1.1431e-03,9.3539e-04,2.5177e-02,1.9585e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.6817e-03,2.5797e-01,1.6501e-01,1.2797e-01,2.1644e-02,2.8056e-01,5.5009e-02,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000e+00,2.7154e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,2.3569e-05
