,as_caida20040105,as_caida20040705,as_caida20050103,as_caida20050704,as_caida20060116,as_caida20060417,as_caida20060918,as_caida20070115,as_caida20070730,as_caida20071105,cit_citeseer,cit_cora,cit_dblp_cite,cit_HepPh,cit_HepTh,cit_Kohonen,cit_Lederberg,cit_SciMet,cit_Zewail,elec_b12_0,elec_b14s_0,elec_b15s_0,elec_b17s_0,elec_b20s_0,elec_b21s_0,elec_b22s_0,elec_s13207_0,elec_s15850_0,elec_s38417_0,elec_s38584_0,elec_s5378_0,elec_s9234_0,hl_berkstan_web,hl_foldoc,hl_google,hl_google_web,hl_notre_dame_web,hl_polblogs,hl_stanford_web,hl_trec_web,hl_wiki_hyperLink_uz,hl_wiki_link_dyn_add,hl_wiki_link_dyn_rem,soc_academia_eu,soc_email_Eu_core,soc_google_plus,soc_myspace_aminer,soc_qa_user_askubuntu,soc_qa_user_mathoverflow,soc_twitter_event_Cannes2013,soc_twitter_event_MoscvowAthletics2013,soc_twitter_event_NYClimateMarch2014,soc_wiki_talk_ar,soc_wiki_talk_fr,sps_nosym_amazon0302,sps_nosym_amazon0312,sps_nosym_amazon0505,sps_nosym_amazon0601,sps_nosym_amazon_2008,sps_nosym_barth,sps_nosym_barth4,sps_nosym_barth5,sps_nosym_California,sps_nosym_cnr_2000,sps_nosym_CSphd,sps_nosym_email_EuAll,sps_nosym_enron,sps_nosym_EPA,sps_nosym_EVA,sps_nosym_GD06_Java,sps_nosym_HEP_th,sps_nosym_higgs_twitter,sps_nosym_NotreDame_www,sps_nosym_p2p_Gnutella04,sps_nosym_p2p_Gnutella05,sps_nosym_p2p_Gnutella06,sps_nosym_p2p_Gnutella08,sps_nosym_p2p_Gnutella09,sps_nosym_p2p_Gnutella24,sps_nosym_p2p_Gnutella25,sps_nosym_p2p_Gnutella30,sps_nosym_p2p_Gnutella31,sps_nosym_rajat01,sps_nosym_Roget,sps_nosym_soc_Epinions1,sps_nosym_soc_Slashdot0811,sps_nosym_soc_Slashdot0902,sps_nosym_Stanford_Berkeley,sps_nosym_wb_cs_stanford,sps_nosym_wiki_Vote,sps_sym_ca_AstroPh,sps_sym_ccc,sps_sym_copter2,sps_sym_delaunay_n15,sps_sym_fe_rotor,sps_sym_ford1,sps_sym_g3rmt3m3,sps_sym_jagmesh5,sps_sym_lock2232,sps_sym_lshp2614,sps_sym_lshp3466,sps_sym_net100,sps_sym_net75,sps_sym_onera_dual,sps_sym_pct20stif,sps_sym_pkustk11,sps_sym_pkustk12,sps_sym_rajat08,sps_sym_s4dkt3m2,sps_sym_shock_9,sps_sym_vsp_befref_fxm_2_4_air02,sps_sym_vsp_model1_crew1_cr42_south31,sps_sym_vsp_p0291_seymourl_iiasa,sps_sym_vsp_sctap1_2b_and_seymourl,sps_sym_vsp_vibrobox_scagr7_2c_rlfddd,trsp_chicago_road,trsp_openflights,trsp_street_network_01_AL_cities_0107000_Birmingham,trsp_street_network_01_AL_counties_01073_Jefferson,trsp_street_network_04_AZ_counties_04013_Maricopa,trsp_street_network_06_CA_cities_0653000_Oakland,trsp_street_network_36_NY_cities_3651000_NewYork,trsp_street_network_36_NY_counties_36081_Queens,trsp_street_network_48_TX_urbanizedAreas_22042_Dallas_FortWorth_Arlingto
as_caida20040105,1.000000e+00,6.904008e-01,5.109756e-01,6.600266e-01,6.496732e-01,4.773029e-01,6.959184e-01,5.182641e-01,6.701967e-01,5.962206e-01,3.623037e-01,2.507375e-01,7.581699e-02,1.450980e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.594430e-03,3.977271e-02,3.216783e-01,2.365613e-03,1.348325e-02,3.934281e-01,6.904250e-03,5.072618e-03,5.899063e-02,1.868293e-02,8.939780e-02,7.708286e-03,2.556380e-01,1.588859e-02,0.000000e+00,4.238885e-02,5.923762e-02,7.894579e-02,3.278384e-01,2.518744e-01,1.470296e-01,2.614659e-02,2.118928e-03,1.297525e-03,1.140727e-03,1.240131e-03,8.734143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.455041e-02,0.000000e+00,9.283574e-02,6.499240e-02,7.581699e-02,0.000000e+00,1.450980e-01,0.000000e+00,1.845484e-03,4.871402e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.581699e-02,3.370433e-02,8.587977e-02,8.531661e-02,9.003352e-03,5.562092e-01,2.146416e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,5.519856e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20040705,,1.000000e+00,5.804878e-01,7.281983e-01,6.023207e-01,5.434032e-01,7.704082e-01,5.744614e-01,7.710540e-01,6.760509e-01,4.136126e-01,2.943440e-01,7.594937e-02,1.297468e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.844618e-03,4.568682e-02,3.001614e-01,2.649137e-03,1.569801e-02,4.126702e-01,8.042441e-03,5.633038e-03,6.691492e-02,2.066803e-02,9.868015e-02,8.387157e-03,2.545890e-01,1.704377e-02,0.000000e+00,4.562452e-02,6.388885e-02,8.893250e-02,3.684699e-01,2.785952e-01,1.614737e-01,2.848980e-02,2.523538e-03,1.467562e-03,1.287518e-03,1.402205e-03,9.952612e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.520829e-02,0.000000e+00,1.015259e-01,6.925401e-02,7.594937e-02,0.000000e+00,1.297468e-01,0.000000e+00,1.978915e-03,5.439717e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.594937e-02,3.639116e-02,9.476518e-02,9.335577e-02,9.995301e-03,4.862869e-01,2.276804e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.209386e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20050103,,,1.000000e+00,6.478659e-01,4.536585e-01,6.997611e-01,5.929878e-01,7.146341e-01,6.064024e-01,6.899390e-01,5.324607e-01,3.843786e-01,5.731707e-02,9.603659e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.378456e-03,5.868342e-02,3.526089e-01,3.382092e-03,2.026087e-02,5.236827e-01,1.031726e-02,7.200710e-03,8.605356e-02,2.654896e-02,1.266183e-01,1.074893e-02,3.265153e-01,2.180704e-02,0.000000e+00,5.830424e-02,8.250272e-02,1.147271e-01,4.748085e-01,3.570100e-01,2.072258e-01,3.645094e-02,3.260785e-03,1.879706e-03,1.648346e-03,1.794135e-03,1.275748e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.894003e-02,0.000000e+00,1.300969e-01,8.901953e-02,5.731707e-02,0.000000e+00,9.603659e-02,0.000000e+00,2.533187e-03,6.927907e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.731707e-02,4.656290e-02,1.215529e-01,1.195717e-01,1.271392e-02,3.573171e-01,2.897600e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.698171e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20050704,,,,1.000000e+00,5.644090e-01,6.044598e-01,7.476760e-01,6.381517e-01,7.534307e-01,7.508677e-01,4.596859e-01,3.251250e-01,6.905710e-02,1.221780e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.042307e-03,5.052291e-02,3.504572e-01,2.963051e-03,1.736569e-02,4.729130e-01,8.855782e-03,6.305172e-03,7.485093e-02,2.321606e-02,1.108138e-01,9.473659e-03,2.986439e-01,1.938140e-02,0.000000e+00,5.168662e-02,7.254431e-02,9.956675e-02,4.108428e-01,3.124190e-01,1.819205e-01,3.211304e-02,2.762614e-03,1.630704e-03,1.431727e-03,1.557874e-03,1.103251e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.740860e-02,0.000000e+00,1.139560e-01,7.910316e-02,6.905710e-02,0.000000e+00,1.221780e-01,0.000000e+00,2.248916e-03,6.082284e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.905710e-02,4.113238e-02,1.064559e-01,1.053105e-01,1.115044e-02,4.621514e-01,2.594054e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.884477e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060116,,,,,1.000000e+00,4.175737e-01,6.015306e-01,4.333437e-01,6.091780e-01,5.225607e-01,3.151832e-01,2.262409e-01,9.364548e-02,1.555184e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.415057e-03,3.464454e-02,2.127488e-01,2.014922e-03,1.201530e-02,3.154233e-01,6.138328e-03,4.254485e-03,5.141801e-02,1.573890e-02,7.554083e-02,6.338715e-03,1.996703e-01,1.309109e-02,0.000000e+00,3.474733e-02,4.964594e-02,6.803784e-02,2.794288e-01,2.107221e-01,1.247069e-01,2.165543e-02,1.935758e-03,1.106356e-03,9.702256e-04,1.056133e-03,7.518428e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.128887e-02,0.000000e+00,7.766445e-02,5.401156e-02,9.364548e-02,0.000000e+00,1.555184e-01,0.000000e+00,1.519942e-03,4.106761e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.364548e-02,2.787469e-02,7.202254e-02,7.103701e-02,7.538124e-03,5.869565e-01,1.761482e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.642599e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060417,,,,,,1.000000e+00,5.468543e-01,6.724184e-01,5.590656e-01,6.456066e-01,5.638743e-01,4.127228e-01,5.309265e-02,8.839926e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.537843e-03,6.310395e-02,3.889036e-01,3.678107e-03,2.179620e-02,5.717880e-01,1.113180e-02,7.740111e-03,9.330187e-02,2.852603e-02,1.366432e-01,1.157893e-02,3.574586e-01,2.359305e-02,0.000000e+00,6.285044e-02,8.823924e-02,1.226710e-01,5.091711e-01,3.828288e-01,2.225891e-01,3.940380e-02,3.483876e-03,2.028096e-03,1.779981e-03,1.936389e-03,1.375297e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.089559e-02,0.000000e+00,1.405148e-01,9.590683e-02,5.309265e-02,0.000000e+00,8.839926e-02,0.000000e+00,2.736319e-03,7.476516e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.309265e-02,5.023499e-02,1.315341e-01,1.294218e-01,1.375792e-02,3.376692e-01,3.123079e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.264932e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060918,,,,,,,1.000000e+00,5.778957e-01,7.927383e-01,6.818357e-01,4.141361e-01,2.912659e-01,7.142857e-02,1.270408e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.842696e-03,4.529837e-02,3.211404e-01,2.681029e-03,1.559475e-02,4.347247e-01,7.956894e-03,5.696463e-03,6.745415e-02,2.102625e-02,1.009009e-01,8.582637e-03,2.808871e-01,1.775733e-02,0.000000e+00,4.720986e-02,6.701650e-02,9.006068e-02,3.703274e-01,2.822594e-01,1.665197e-01,2.927939e-02,2.478704e-03,1.463080e-03,1.284232e-03,1.397233e-03,9.894167e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.564133e-02,0.000000e+00,1.048065e-01,7.336996e-02,7.142857e-02,0.000000e+00,1.270408e-01,0.000000e+00,2.066110e-03,5.485855e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.142857e-02,3.777554e-02,9.641202e-02,9.529520e-02,1.017485e-02,4.785714e-01,2.405531e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.191336e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20070115,,,,,,,,1.000000e+00,5.922573e-01,6.718701e-01,4.910995e-01,3.570604e-01,5.245083e-02,9.178895e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.220914e-03,5.520842e-02,4.074771e-01,3.342890e-03,1.911264e-02,5.321196e-01,9.797399e-03,6.986978e-03,8.362704e-02,2.572570e-02,1.236549e-01,1.054569e-02,3.514647e-01,2.198923e-02,0.000000e+00,5.790237e-02,8.167683e-02,1.091463e-01,4.510100e-01,3.441006e-01,2.039243e-01,3.599513e-02,2.988885e-03,1.797733e-03,1.579855e-03,1.718506e-03,1.213259e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.970503e-02,0.000000e+00,1.284128e-01,9.014376e-02,5.245083e-02,0.000000e+00,9.178895e-02,0.000000e+00,2.546725e-03,6.789012e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.245083e-02,4.659375e-02,1.193550e-01,1.179688e-01,1.250431e-02,3.640337e-01,2.935803e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.559475e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20070730,,,,,,,,,1.000000e+00,6.934053e-01,4.204188e-01,3.030653e-01,7.463439e-02,1.255673e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.888045e-03,4.625896e-02,2.915546e-01,2.709960e-03,1.604076e-02,4.222913e-01,8.188561e-03,5.735080e-03,6.891553e-02,2.117532e-02,1.014263e-01,8.578511e-03,2.715966e-01,1.768384e-02,0.000000e+00,4.695130e-02,6.666468e-02,9.132905e-02,3.753192e-01,2.839506e-01,1.671950e-01,2.916983e-02,2.570330e-03,1.485054e-03,1.302638e-03,1.418242e-03,1.007275e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.522240e-02,0.000000e+00,1.046462e-01,7.267525e-02,7.463439e-02,0.000000e+00,1.255673e-01,0.000000e+00,2.053222e-03,5.521900e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.463439e-02,3.765696e-02,9.718848e-02,9.574182e-02,1.016241e-02,4.841150e-01,2.361515e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.252708e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20071105,,,,,,,,,,1.000000e+00,4.869110e-01,3.511607e-01,6.633243e-02,1.110683e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.179711e-03,5.406716e-02,3.353954e-01,3.120380e-03,1.862227e-02,4.851983e-01,9.511184e-03,6.611618e-03,7.905534e-02,2.434725e-02,1.164042e-01,9.853505e-03,2.972953e-01,1.997395e-02,0.000000e+00,5.347141e-02,7.517703e-02,1.049006e-01,4.356861e-01,3.277524e-01,1.899304e-01,3.346346e-02,2.994771e-03,1.732851e-03,1.519980e-03,1.654534e-03,1.176022e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.760706e-02,0.000000e+00,1.193436e-01,8.118354e-02,6.633243e-02,0.000000e+00,1.110683e-01,0.000000e+00,2.320056e-03,6.378336e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.633243e-02,4.268162e-02,1.117157e-01,1.100092e-01,1.171997e-02,4.130351e-01,2.655510e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,7.306859e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
